Entity,Code,Year,Annual CO₂ emissions
Afghanistan,AFG,1949,14656
Afghanistan,AFG,1950,84272
Afghanistan,AFG,1951,91600
Afghanistan,AFG,1952,91600
Afghanistan,AFG,1953,106256
Afghanistan,AFG,1954,106256
Afghanistan,AFG,1955,153888
Afghanistan,AFG,1956,183200
Afghanistan,AFG,1957,293120
Afghanistan,AFG,1958,329760
Afghanistan,AFG,1959,384571
Afghanistan,AFG,1960,413885
Afghanistan,AFG,1961,490798
Afghanistan,AFG,1962,688594
Afghanistan,AFG,1963,706736
Afghanistan,AFG,1964,838551
Afghanistan,AFG,1965,1006917
Afghanistan,AFG,1966,1091159
Afghanistan,AFG,1967,1281865
Afghanistan,AFG,1968,1223391
Afghanistan,AFG,1969,941232
Afghanistan,AFG,1970,1670397
Afghanistan,AFG,1971,1893554
Afghanistan,AFG,1972,1530347
Afghanistan,AFG,1973,1635454
Afghanistan,AFG,1974,1913152
Afghanistan,AFG,1975,2121383
Afghanistan,AFG,1976,1980859
Afghanistan,AFG,1977,2384175
Afghanistan,AFG,1978,2153300
Afghanistan,AFG,1979,2232754
Afghanistan,AFG,1980,1756302
Afghanistan,AFG,1981,1978463
Afghanistan,AFG,1982,2094580.9
Afghanistan,AFG,1983,2519954
Afghanistan,AFG,1984,2821540
Afghanistan,AFG,1985,3501422
Afghanistan,AFG,1986,3133645
Afghanistan,AFG,1987,3113826
Afghanistan,AFG,1988,2856896
Afghanistan,AFG,1989,2764855
Afghanistan,AFG,1990,2024326.1
Afghanistan,AFG,1991,1914301
Afghanistan,AFG,1992,1482054
Afghanistan,AFG,1993,1486943
Afghanistan,AFG,1994,1453829
Afghanistan,AFG,1995,1417327
Afghanistan,AFG,1996,1370104
Afghanistan,AFG,1997,1304152
Afghanistan,AFG,1998,1278504
Afghanistan,AFG,1999,1091640
Afghanistan,AFG,2000,1047127.94
Afghanistan,AFG,2001,1069098
Afghanistan,AFG,2002,1340995
Afghanistan,AFG,2003,1559602
Afghanistan,AFG,2004,1237247
Afghanistan,AFG,2005,1889507
Afghanistan,AFG,2006,2159318
Afghanistan,AFG,2007,2799909
Afghanistan,AFG,2008,4254477
Afghanistan,AFG,2009,6391888
Afghanistan,AFG,2010,8364803.5
Afghanistan,AFG,2011,11838316
Afghanistan,AFG,2012,10035314
Afghanistan,AFG,2013,9228517
Afghanistan,AFG,2014,9086037
Afghanistan,AFG,2015,9670181
Afghanistan,AFG,2016,8906380
Afghanistan,AFG,2017,9677441
Afghanistan,AFG,2018,10601884
Afghanistan,AFG,2019,10825145
Afghanistan,AFG,2020,11605929
Afghanistan,AFG,2021,10271881
Afghanistan,AFG,2022,10557803
Afghanistan,AFG,2023,11020218
Africa,,1884,21984
Africa,,1885,36640
Africa,,1886,47632
Africa,,1887,47632
Africa,,1888,80608
Africa,,1889,131904
Africa,,1890,296784
Africa,,1891,296784
Africa,,1892,479984
Africa,,1893,1799024
Africa,,1894,2432896
Africa,,1895,3337904
Africa,,1896,4257568
Africa,,1897,4777856
Africa,,1898,6049264
Africa,,1899,5517984
Africa,,1900,2330304
Africa,,1901,3909488
Africa,,1902,5825760
Africa,,1903,7895920
Africa,,1904,8910848
Africa,,1905,10262864
Africa,,1906,11717472
Africa,,1907,12930256
Africa,,1908,13402912
Africa,,1909,15385136
Africa,,1910,17411328
Africa,,1911,16865392
Africa,,1912,17953600
Africa,,1913,19606064
Africa,,1914,19551104
Africa,,1915,19606064
Africa,,1916,23255408
Africa,,1917,25343888
Africa,,1918,24724672
Africa,,1919,25442816
Africa,,1920,28051584
Africa,,1921,27985632
Africa,,1922,23969888
Africa,,1923,29044528
Africa,,1924,30631040
Africa,,1925,32184576
Africa,,1926,34437936
Africa,,1927,33840704
Africa,,1928,34770320
Africa,,1929,35801616
Africa,,1930,33695670
Africa,,1931,29463712
Africa,,1932,26622752
Africa,,1933,28491132
Africa,,1934,32539280
Africa,,1935,35909544
Africa,,1936,39015950
Africa,,1937,41844264
Africa,,1938,44013164
Africa,,1939,46852930
Africa,,1940,49649184
Africa,,1941,54023456
Africa,,1942,58822884
Africa,,1943,60119628
Africa,,1944,66632910
Africa,,1945,67527180
Africa,,1946,68159370
Africa,,1947,67934744
Africa,,1948,71733140
Africa,,1949,77323530
Africa,,1950,94868000
Africa,,1951,101125270
Africa,,1952,110325210
Africa,,1953,112007010
Africa,,1954,117536136
Africa,,1955,129402500
Africa,,1956,135106260
Africa,,1957,141593120
Africa,,1958,148670930
Africa,,1959,147841250
Africa,,1960,156567200
Africa,,1961,161994340
Africa,,1962,166334910
Africa,,1963,176334880
Africa,,1964,193639340
Africa,,1965,213634400
Africa,,1966,221082100
Africa,,1967,237045200
Africa,,1968,257271420
Africa,,1969,277716580
Africa,,1970,302405900
Africa,,1971,331612900
Africa,,1972,351688000
Africa,,1973,377821120
Africa,,1974,388183260
Africa,,1975,387017150
Africa,,1976,419914700
Africa,,1977,432918820
Africa,,1978,462338660
Africa,,1979,498986780
Africa,,1980,536023460
Africa,,1981,548882300
Africa,,1982,571969100
Africa,,1983,594811400
Africa,,1984,649591230
Africa,,1985,666141950
Africa,,1986,690176300
Africa,,1987,690283140
Africa,,1988,725373250
Africa,,1989,698582900
Africa,,1990,658343900
Africa,,1991,687670400
Africa,,1992,666660030
Africa,,1993,706441700
Africa,,1994,790233800
Africa,,1995,844549400
Africa,,1996,872284300
Africa,,1997,893938400
Africa,,1998,912482100
Africa,,1999,899879040
Africa,,2000,930850800
Africa,,2001,920601800
Africa,,2002,899995840
Africa,,2003,989644600
Africa,,2004,1045725800
Africa,,2005,1059372350
Africa,,2006,1091175800
Africa,,2007,1116900100
Africa,,2008,1174755200
Africa,,2009,1168250400
Africa,,2010,1216669000
Africa,,2011,1257421000
Africa,,2012,1268948200
Africa,,2013,1282541800
Africa,,2014,1357348700
Africa,,2015,1332661800
Africa,,2016,1375131500
Africa,,2017,1393216400
Africa,,2018,1386654300
Africa,,2019,1479411800
Africa,,2020,1355782400
Africa,,2021,1441534000
Africa,,2022,1432502900
Africa,,2023,1418739200
Africa (GCP),,1850,0
Africa (GCP),,1851,0
Africa (GCP),,1852,0
Africa (GCP),,1853,0
Africa (GCP),,1854,0
Africa (GCP),,1855,0
Africa (GCP),,1856,0
Africa (GCP),,1857,0
Africa (GCP),,1858,0
Africa (GCP),,1859,0
Africa (GCP),,1860,0
Africa (GCP),,1861,0
Africa (GCP),,1862,0
Africa (GCP),,1863,0
Africa (GCP),,1864,0
Africa (GCP),,1865,0
Africa (GCP),,1866,0
Africa (GCP),,1867,0
Africa (GCP),,1868,0
Africa (GCP),,1869,0
Africa (GCP),,1870,0
Africa (GCP),,1871,0
Africa (GCP),,1872,0
Africa (GCP),,1873,0
Africa (GCP),,1874,0
Africa (GCP),,1875,0
Africa (GCP),,1876,0
Africa (GCP),,1877,0
Africa (GCP),,1878,0
Africa (GCP),,1879,0
Africa (GCP),,1880,0
Africa (GCP),,1881,0
Africa (GCP),,1882,0
Africa (GCP),,1883,0
Africa (GCP),,1884,21984
Africa (GCP),,1885,36640
Africa (GCP),,1886,47632
Africa (GCP),,1887,47632
Africa (GCP),,1888,80608
Africa (GCP),,1889,131904
Africa (GCP),,1890,296784
Africa (GCP),,1891,296784
Africa (GCP),,1892,479984
Africa (GCP),,1893,1799024
Africa (GCP),,1894,2432896
Africa (GCP),,1895,3337904
Africa (GCP),,1896,4257568
Africa (GCP),,1897,4777856
Africa (GCP),,1898,6049264
Africa (GCP),,1899,5517984
Africa (GCP),,1900,2330304
Africa (GCP),,1901,3909488
Africa (GCP),,1902,5825760
Africa (GCP),,1903,7895920
Africa (GCP),,1904,8910848
Africa (GCP),,1905,10262864
Africa (GCP),,1906,11717472
Africa (GCP),,1907,12930256
Africa (GCP),,1908,13402912
Africa (GCP),,1909,15385136
