Entity,Code,Year,"Other renewables (TWh, substituted energy)","Biofuels (TWh, substituted energy)","Solar (TWh, substituted energy)","Wind (TWh, substituted energy)","Hydropower (TWh, substituted energy)","Nuclear (TWh, substituted energy)","Gas (TWh, substituted energy)","Oil (TWh, substituted energy)","Coal (TWh, substituted energy)","Traditional biomass (TWh, substituted energy)"
World,OWID_WRL,1800,0,0,0,0,0,0,0,0,97,5556
World,OWID_WRL,1810,0,0,0,0,0,0,0,0,128,5833
World,OWID_WRL,1820,0,0,0,0,0,0,0,0,153,6111
World,OWID_WRL,1830,0,0,0,0,0,0,0,0,264,6389
World,OWID_WRL,1840,0,0,0,0,0,0,0,0,356,6944
World,OWID_WRL,1850,0,0,0,0,0,0,0,0,569,7222
World,OWID_WRL,1860,0,0,0,0,0,0,0,0,1061,6944
World,OWID_WRL,1870,0,0,0,0,0,0,0,6,1642,6944
World,OWID_WRL,1880,0,0,0,0,0,0,0,33,2542,6944
World,OWID_WRL,1890,0,0,0,0,38.88889,0,33,89,3856,6667
World,OWID_WRL,1900,0,0,0,0,47.22222,0,64,181,5728,6111
World,OWID_WRL,1910,0,0,0,0,91.666664,0,142,397,8656,6389
World,OWID_WRL,1920,0,0,0,0,177.77777,0,233,889,9833,6944
World,OWID_WRL,1930,0,0,0,0,363.8889,0,603,1756,10125,7222
World,OWID_WRL,1940,0,0,0,0,533.3333,0,875,2653,11586,7222
World,OWID_WRL,1950,0,0,0,0,925,0,2092,5444,12603,7500
World,OWID_WRL,1960,0,0,0,0,1913.8889,0,4472,11097,15442,8889
World,OWID_WRL,1965,56.20385,9.029861,0,0,2564.439,70.94367,6303.821,18011.457,16177.694,9162
World,OWID_WRL,1966,61.893772,9.209844,0,0,2732.8247,95.64802,6868.8145,19426.414,16359.431,9218
World,OWID_WRL,1967,62.45803,9.383716,0,0,2793.7288,113.905594,7374.058,20778.916,16095.518,9274
World,OWID_WRL,1968,69.12514,9.5538,0,0,2942.4685,144.75877,8044.3477,22510.49,16333.144,9331
World,OWID_WRL,1969,72.68114,9.723982,0,0,3115.9512,171.62059,8833.434,24445.395,16847,9387
World,OWID_WRL,1970,80.31843,13.501495,0,0,3262.9155,219.09625,9614.809,26684.725,17087.006,9444
World,OWID_WRL,1971,87.15092,13.562147,0,0,3409.0059,304.73383,10293.19,28116.584,16987.656,9499
World,OWID_WRL,1972,93.40242,14.823111,0,0,3568.4138,422.70874,10861.714,30335.396,17168.227,9553
World,OWID_WRL,1973,100.29954,14.250557,0,0,3619.4802,566.39325,11377.833,32730.184,17683.57,9608
World,OWID_WRL,1974,107.15339,14.334716,0,0,3975.6433,740.5558,11659.859,32230.395,17696.432,9663
World,OWID_WRL,1975,108.78775,13.688392,0,0,4024.676,1027.3561,11659.736,31996.514,18045.436,9718
World,OWID_WRL,1976,121.22203,13.75119,0,0,4008.7126,1201.865,12354.139,34061.47,18699.785,9774
World,OWID_WRL,1977,127.78763,18.318535,0,0,4143.534,1495.9661,12759.838,35194.34,19267.412,9830
World,OWID_WRL,1978,135.30203,23.178776,0,0.008333333,4484.395,1738.3176,13293.947,36709.973,19467.492,9886
World,OWID_WRL,1979,145.31018,28.023214,0,0.016666666,4708.85,1807.9442,14118.029,37177.996,20370.578,9943
World,OWID_WRL,1980,155.36708,32.78612,0,0.029166665,4810.1367,1977.5671,14236.961,35568.645,20877.783,10000
